,color,id,month,value,year
0,,God.Financování.Opravné položky k peněžním operacím,1,,2016
0,green,God.Financování.Opravné položky k peněžním operacím.Opravné položky k peněžním operacím,1,14282234.0,2016
0,red,God.Financování.Opravné položky k peněžním operacím.Opravné položky k peněžním operacím,1,135451.96,2016
0,green,God.Kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy.Ostatní kapitálové příjmy,1,0.0,2016
0,red,God.Kapitálové příjmy.Příjmy z prodeje dlouhodobého majetku a ostatní kapitálové příjmy.Ostatní kapitálové příjmy,1,0.0,2016
0,green,God.Nedaňové příjmy.Přijaté splátky půjčených prostředků.Splátky půjčených prostředků od obecně prospěšných společností a podobných subjektů,1,0.0,2016
0,red,God.Nedaňové příjmy.Přijaté splátky půjčených prostředků.Splátky půjčených prostředků od obecně prospěšných společností a podobných subjektů,1,12000.0,2016
0,green,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery ze zahraničí,1,0.0,2016
0,red,God.Přijaté transfery.Neinvestiční přijaté transfery.Neinvestiční přijaté transfery ze zahraničí,1,0.0,2016
0,,God.Přijaté transfery.Investiční přijaté transfery,1,,2016
0,green,God.Přijaté transfery.Investiční přijaté transfery.Investiční přijaté transfery od veřejných rozpočtů územní úrovně,1,0.0,2016
0,red,God.Přijaté transfery.Investiční přijaté transfery.Investiční přijaté transfery od veřejných rozpočtů územní úrovně,1,0.0,2016
0,green,God.Přijaté transfery.Investiční přijaté transfery.Investiční přijaté transfery od veřejných rozpočtů ústřední úrovně,1,0.0,2016
0,red,God.Přijaté transfery.Investiční přijaté transfery.Investiční přijaté transfery od veřejných rozpočtů ústřední úrovně,1,0.0,2016
0,,God.Kapitálové výdaje.Investiční půjčené prostředky,1,,2016
0,green,God.Kapitálové výdaje.Investiční půjčené prostředky.Investiční půjčené prostředky obyvatelstvu,1,0.0,2016
0,red,God.Kapitálové výdaje.Investiční půjčené prostředky.Investiční půjčené prostředky obyvatelstvu,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční transfery do zahraničí.Ostatní neinvestiční transfery do zahraničí,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční transfery do zahraničí.Ostatní neinvestiční transfery do zahraničí,1,0.0,2016
0,green,God.Kapitálové výdaje.Investiční transfery.Investiční transfery veřejným rozpočtům ústřední úrovně,1,0.0,2016
0,red,God.Kapitálové výdaje.Investiční transfery.Investiční transfery veřejným rozpočtům ústřední úrovně,1,0.0,2016
0,green,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky neziskovým a podobným organizacím,1,0.0,2016
0,red,God.Běžné výdaje.Neinvestiční půjčené prostředky.Neinvestiční půjčené prostředky neziskovým a podobným organizacím,1,0.0,2016
0,green,God.Kapitálové výdaje.Investiční půjčené prostředky.Investiční půjčené prostředky podnikatelským subjektům,1,0.0,2016
0,red,God.Kapitálové výdaje.Investiční půjčené prostředky.Investiční půjčené prostředky podnikatelským subjektům,1,0.0,2016
